summary,journey_id,end,start
First Romanian in space (Prunariu). Magnetic field observations. Final Soyuz flight.,aa3c0e00-dc41-11be-8080-808080808080,1981-05-22 13:58:00.000+0000,1981-05-14 17:17:00.000+0000
ISS crew rotation.,d3f10000-d1a5-11df-8080-808080808080,2011-03-16 00:00:00.000+0000,2010-10-07 00:00:00.000+0000
Mir crew rotation.,39216c00-df03-11cd-8080-808080808080,1995-03-22 04:04:00.000+0000,1994-10-03 22:42:00.000+0000
ISS construction and outfitting. 100th Space Shuttle mission.,999dfe00-9fcc-11d4-8080-808080808080,2000-10-24 21:00:00.000+0000,2000-10-11 23:17:00.000+0000
Miscellaneous scientific experiments. First Spaniard in space (Duque). Veteran John Glenn returned to space aged 77.,398b2a00-6f64-11d2-8080-808080808080,1998-11-07 17:03:00.000+0000,1998-10-29 19:19:00.000+0000
Crew rotation,d0a7d400-e307-11ee-8080-808080808080,2024-05-23 02:20:44.000+0000,2024-02-11 13:15:57.000+0000
Bring passengers to the moon,dc518b80-e0b8-11ee-8080-808080808080,2024-12-11 04:34:20.000+0000,2024-04-08 03:25:58.000+0000
Push the boundaries of human exploration,cc495b80-dddb-11ee-8080-808080808080,2024-09-08 03:02:49.000+0000,2024-05-13 15:24:55.000+0000
Test new spacecraft model,63de3100-da0d-11ee-8080-808080808080,2024-11-21 22:07:13.000+0000,2024-05-25 00:49:01.000+0000
Deploy new internet beacons,18fce480-d94d-11ee-8080-808080808080,2024-08-10 06:55:14.000+0000,2024-01-27 10:00:40.000+0000
Push the boundaries of human exploration,74705f00-d63b-11ee-8080-808080808080,2024-05-05 09:30:33.000+0000,2024-03-03 10:59:25.000+0000
Push the boundaries of human exploration,0753bf80-d590-11ee-8080-808080808080,2024-07-03 13:57:45.000+0000,2024-01-16 18:55:02.000+0000
Go to edge of solar system,5182ff80-d0bd-11ee-8080-808080808080,2024-12-06 10:34:55.000+0000,2024-02-09 00:25:18.000+0000
Deploy satellites,b1202480-c8df-11ee-8080-808080808080,2024-07-23 15:26:52.000+0000,2024-06-23 19:08:37.000+0000
Go to edge of solar system,b3b52b00-c6e1-11ee-8080-808080808080,2024-06-17 02:01:57.000+0000,2024-03-04 09:55:54.000+0000
ISS crew rotation.,cc5c8000-2c9a-11e8-8080-808080808080,2018-10-04 00:00:00.000+0000,2018-03-21 00:00:00.000+0000
First American manned orbital flight. Completed three orbits.,8c7b3200-4d82-11a9-8080-808080808080,1962-02-20 20:42:00.000+0000,1962-02-20 15:47:00.000+0000
Deployed two communications satellites. Retrieved two malfunctioning satellites.,5d0f8800-c536-11c2-8080-808080808080,1984-11-16 12:14:00.000+0000,1984-11-08 12:28:00.000+0000
ISS crew rotation.,687ec000-b3b0-11e3-8080-808080808080,2014-09-11 00:00:00.000+0000,2014-03-25 00:00:00.000+0000
Mir crew rotation and resupply. First American woman on Mir (Lucid).,a0aece00-83ba-11cf-8080-808080808080,1996-03-31 13:28:00.000+0000,1996-03-22 08:13:00.000+0000
Push the boundaries of human exploration,e15ab900-3c0c-11f2-8080-808080808080,2027-06-13 15:43:41.000+0000,2027-05-26 16:39:12.000+0000
